text,gold,split,row_idx,pred,error,raw_response
"a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films",positive,train,0,positive,,"{ ""label"": ""positive"" }"
apparently reassembled from the cutting-room floor of any given daytime soap .,negative,train,1,negative,,"{ ""label"": ""negative"" }"
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",negative,train,2,negative,,"{ ""label"": ""negative"" }"
the entire movie is filled with deja vu moments .,neutral,train,3,negative,,"{ ""label"": ""negative"" }"
"this is a visually stunning rumination on love , memory , history and the war between art and commerce .",positive,train,4,positive,,"{ ""label"": ""positive"" }"
"um , no. .",neutral,train,5,negative,,"{ ""label"": ""negative"" }"
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .,positive,train,6,negative,,"{ ""label"": ""negative"" }"
campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,positive,train,7,positive,,"{ ""label"": ""positive"" }"
a fan film that for the uninitiated plays better on video with the sound turned down .,negative,train,8,negative,,"{ ""label"": ""negative"" }"
"béart and berling are both superb , while huppert ... is magnificent .",positive,train,9,positive,,"{ ""label"": ""positive"" }"
"a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .",negative,train,10,negative,,"{ ""label"": ""negative"" }"
the film is strictly routine .,negative,train,11,negative,,"{ ""label"": ""negative"" }"
a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,positive,train,12,positive,,"{ ""label"": ""positive"" }"
the most repugnant adaptation of a classic text since roland joffé and demi moore 's the scarlet letter .,negative,train,13,negative,,"{ ""label"": ""negative"" }"
"for something as splendid-looking as this particular film , the viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash .",negative,train,14,negative,,"{ ""label"": ""negative"" }"
"this is a stunning film , a one-of-a-kind tour de force .",positive,train,15,positive,,"{ ""label"": ""positive"" }"
"may be more genial than ingenious , but it gets the job done .",positive,train,16,positive,,"{ ""label"": ""positive"" }"
"there is a freedom to watching stunts that are this crude , this fast-paced and this insane .",positive,train,17,positive,,"{ ""label"": ""positive"" }"
"if the tuxedo actually were a suit , it would fit chan like a $ 99 bargain-basement special .",negative,train,18,negative,,"{ ""label"": ""negative"" }"
"as quiet , patient and tenacious as mr. lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .",positive,train,19,positive,,"{ ""label"": ""positive"" }"
final verdict : you 've seen it all before .,negative,train,20,negative,,"{ ""label"": ""negative"" }"
"blue crush follows the formula , but throws in too many conflicts to keep the story compelling .",negative,train,21,negative,,"{ ""label"": ""negative"" }"
you ... get a sense of good intentions derailed by a failure to seek and strike just the right tone .,negative,train,22,negative,,"{ ""label"": ""negative"" }"
"a slick , engrossing melodrama .",positive,train,23,positive,,"{ ""label"": ""positive"" }"
a wretched movie that reduces the second world war to one man 's quest to find an old flame .,negative,train,24,negative,,"{ ""label"": ""negative"" }"
"eccentric enough to stave off doldrums , caruso 's self-conscious debut is also eminently forgettable .",neutral,train,25,negative,,"{ ""label"": ""negative"" }"
"will undoubtedly play well in european markets , where mr. besson is a brand name , and in asia , where ms. shu is an institution , but american audiences will probably find it familiar and insufficiently cathartic .",negative,train,26,negative,,"{ ""label"": ""negative"" }"
one of -lrb- jaglom 's -rrb- better efforts -- a wry and sometime bitter movie about love .,neutral,train,27,positive,,"{ ""label"": ""positive"" }"
lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience .,negative,train,28,negative,,"{ ""label"": ""negative"" }"
the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .,positive,train,29,positive,,"{ ""label"": ""positive"" }"
"the film is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller .",positive,train,30,positive,,"{ ""label"": ""positive"" }"
too bad .,negative,train,31,negative,,"{ ""label"": ""negative"" }"
"a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .",positive,train,32,positive,,"{ ""label"": ""positive"" }"
gooding offers a desperately ingratiating performance .,negative,train,33,negative,,"{ ""label"": ""negative"" }"
"you end up simply admiring this bit or that , this performance or that .",neutral,train,34,positive,,"{ ""label"": ""positive"" }"
a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .,negative,train,35,negative,,"{ ""label"": ""negative"" }"
"analyze that regurgitates and waters down many of the previous film 's successes , with a few new swings thrown in .",neutral,train,36,negative,,"{ ""label"": ""negative"" }"
"there 's a neat twist , subtly rendered , that could have wrapped things up at 80 minutes , but kang tacks on three or four more endings .",neutral,train,37,negative,,"{ ""label"": ""negative"" }"
a fun ride .,positive,train,38,positive,,"{ ""label"": ""positive"" }"
"what with the incessant lounge music playing in the film 's background , you may mistake love liza for an adam sandler chanukah song .",neutral,train,39,negative,,"{ ""label"": ""negative"" }"
an edgy thriller that delivers a surprising punch .,positive,train,40,positive,,"{ ""label"": ""positive"" }"
` what 's the russian word for wow !? ',positive,train,41,neutral,,"{ ""label"": ""neutral"" }"
"you might say tykwer has done all that heaven allows , if you wanted to make as anti-kieslowski a pun as possible .",neutral,train,42,negative,,"{ ""label"": ""negative"" }"
"many shallower movies these days seem too long , but this one is egregiously short .",neutral,train,43,negative,,"{ ""label"": ""negative"" }"
otto-sallies has a real filmmaker 's eye .,positive,train,44,positive,,"{ ""label"": ""positive"" }"
lurid and less than lucid work .,negative,train,45,negative,,"{ ""label"": ""negative"" }"
a portrait of an artist .,neutral,train,46,neutral,,"{ ""label"": ""neutral"" }"
"once again , the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle .",neutral,train,47,negative,,"{ ""label"": ""negative"" }"
"with a confrontational stance , todd solondz takes aim on political correctness and suburban families .",neutral,train,48,neutral,,"{ ""label"": ""neutral"" }"
"many of the effective horror elements are dampened through familiarity , -lrb- yet -rrb- are worthwhile .",neutral,train,49,positive,,"{ ""label"": ""positive"" }"
with its parade of almost perpetually wasted characters ... margarita feels like a hazy high that takes too long to shake .,negative,train,50,negative,,"{ ""label"": ""negative"" }"
"i could just feel the screenwriter at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay .",negative,train,51,negative,,"{ ""label"": ""negative"" }"
